idx,class,epoch-0,epoch-1,epoch-2,epoch-3,epoch-4
sample-0,1,17.3444,16.4769,17.9089,18.799,19.0162
sample-12,1,15.1112,16.08,17.3797,17.6842,17.0921
sample-43,1,12.3175,14.1167,15.4332,16.0631,14.3686
sample-149,1,13.8278,14.4899,15.0544,16.0462,15.4124
sample-151,1,14.2104,15.0195,15.4153,16.2824,15.6263
sample-152,1,14.1934,15.4516,16.2657,17.1105,16.0435
sample-153,1,14.0226,15.4779,15.7752,16.6088,15.9221
sample-163,1,15.1786,16.2882,17.1892,15.7176,15.3938
sample-193,1,14.7578,15.7492,17.0032,17.4177,18.1394
sample-350,1,15.336,17.1227,17.8185,17.4655,18.1423
sample-375,1,14.3365,15.3054,16.5382,17.26,16.592
sample-502,1,15.1856,16.6936,17.5418,19.6059,20.1051
sample-591,1,12.5871,13.2986,14.0028,14.7031,15.588
sample-727,1,13.1263,13.9492,14.4479,16.1726,15.6343
sample-888,1,13.5761,13.0786,14.5306,16.303,16.6749
sample-950,1,13.2754,13.2591,15.1752,14.9305,15.7355
sample-1041,1,15.7259,16.2673,18.6928,18.9756,20.2589
sample-1045,1,14.6063,15.1146,14.7253,14.4075,13.5796
sample-1046,1,14.8477,15.8806,15.9151,15.8222,14.9196
sample-1093,1,12.8023,16.9143,18.8148,19.2493,20.2412
sample-1140,1,18.384,18.1795,19.6074,18.1712,17.6873
sample-1177,1,15.2652,15.5229,17.0065,18.0045,16.7515
sample-1188,1,14.5627,16.4666,17.162,17.0528,19.333
sample-1564,1,17.451,15.9397,16.7551,17.3325,19.3769
sample-1587,1,15.9175,17.369,18.3703,19.202,20.5556
sample-1605,1,12.4082,13.0286,14.1492,17.0679,17.9969
sample-1648,1,17.0721,16.4782,15.026,16.5991,16.76
sample-1649,1,12.9234,14.3079,14.0122,13.6844,15.0374
sample-1686,1,13.868,17.7185,15.3706,15.2669,15.5926
sample-1687,1,16.0679,13.1906,12.4691,15.3089,14.8055
sample-1688,1,14.1479,13.6517,13.6966,15.5386,15.3866
sample-1729,1,13.3237,13.9294,15.2697,16.0137,15.299
sample-1745,1,13.1686,16.7993,17.8266,19.106,19.3031
sample-1820,1,14.1732,16.3664,17.6883,19.3786,19.5857
sample-2253,1,15.6902,16.7593,16.2936,19.6,19.8687
sample-2289,1,16.7425,17.0003,15.6671,16.8491,17.6541
sample-2428,1,13.6861,16.2572,17.1792,18.5202,18.5859
sample-2486,1,12.6949,15.2419,17.2514,19.5212,19.0571
sample-2597,1,13.7831,14.2583,16.5482,18.1056,17.9
